Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
20,System Senior Analyst,Luxoft d.o.o.,15-01-24,15-02-24,Bachelor,IT Analyst,System Senior Analyst,senior,"SQL, XML, JSON, UML, REST, SCRUM, HTTP",Remote,TRUE,FALSE,TRUE,Data Analyst,Data Analyst
21,"Blockchain Operations, Technical Analyst",Chainlink Labs,15-01-24,15-02-24,Bachelor,IT Analyst,"Blockchain Operations, Technical Analyst",intermediate,"Linux, Git, Agile",Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
22,Sr. Security Operations Analyst,Alpaca,16-01-24,16-02-24,Bachelor,Security Expert,Sr. Security Operations Analyst,senior,"IPS, Cloud",Remote,FALSE,FALSE,TRUE,Security Expert,FALSE
23,Digital Business Analyst,CobbleWeb Ltd,26-10-23,25-01-24,Bachelor,Poslovni analitičar,Digital Business Analyst,senior,"Jira, Confluence, Agile",Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
24,Senior QA Analyst,Euronet Services d.o.o.,26-09-22,19-02-24,Bachelor,Automation QA Engineer,Senior QA Analyst,senior,"C#, SQL, REST, QA, Cloud, Agile, Cypress",Belgrade,FALSE,FALSE,FALSE,QA Analyst,FALSE
25,"Senior Operations Analyst, Customer Success",Mural,27-11-23,27-01-24,Bachelor,IT Analyst,"Senior Operations Analyst, Customer Success",senior,SaaS,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
26,Software Implementation and QA Analyst,Euronet Services d.o.o.,30-11-23,30-01-24,Bachelor,IT Analyst,Software Implementation and QA Analyst,intermediate,"SQL, RDBMS",Belgrade | Hybrid,FALSE,FALSE,FALSE,QA Analyst,FALSE
27,Analytics Engineer,Metabase,31-10-23,30-01-24,Bachelor,IT Analyst,Analytics Engineer,senior,SQL,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
28,ELITE - Analytics Engineer,Showwcase - ELITE,18-12-23,17-02-24,Bachelor,Data Warehouse / Business Intelligence Developer,ELITE - Analytics Engineer,senior,"SQL, Java, Python, AWS, Azure, Scala, Cloud, Agile",Remote,FALSE,FALSE,TRUE,BI Developer,FALSE
29,Senior Salesforce Developer,Quadrix Soft d.o.o.,15-01-24,15-02-24,Bachelor,Software Developer / Programmer / Engineer,Senior Salesforce Developer,senior,APEX,Nish,FALSE,FALSE,FALSE,Software Developer,FALSE
30,Data Scientist,Bridgewater Labs d.o.o.,22-01-24,07-02-24,Bachelor,Saradnik u oblasti analize,Data Scientist,intermediate,"Python, R",Novi Sad,FALSE,FALSE,FALSE,Data Scientist,Data Scientist
31,Software Configuration Engineer (Java),4Create Software d.o.o.,16-01-24,16-02-24,Bachelor,Java Developer,Software Configuration Engineer (Java),intermediate,"Linux, Unix, Java, OOP",Remote,FALSE,TRUE,TRUE,Java Developer,FALSE
